rotation,hitter,receptions,sideouts,expected_sideout_pct
5.0,Mina Olgar,14,14,100.0
4.0,Mika Rome,9,9,100.0
6.0,Stefania Alupei,8,8,100.0
2.0,Stefania Alupei,9,8,88.9
6.0,Mina Olgar,6,5,83.3
4.0,Mina Olgar,8,6,75.0
3.0,Mika Rome,7,5,71.4
4.0,Stefania Alupei,7,5,71.4
6.0,Ireland McNees,34,23,67.6
6.0,Molly McCluskey,93,62,66.7
2.0,Katie Rapp,9,6,66.7
2.0,Mina Olgar,6,4,66.7
5.0,Jasmine Saran,62,41,66.1
2.0,Maria Fernanda Afonso,49,32,65.3
1.0,Madison Johnson,25,16,64.0
2.0,Molly McCluskey,22,14,63.6
2.0,Madison Johnson,24,15,62.5
2.0,Ireland McNees,29,18,62.1
1.0,Molly McCluskey,57,35,61.4
5.0,Maria Fernanda Afonso,18,11,61.1
6.0,Maria Fernanda Afonso,20,12,60.0
3.0,Molly McCluskey,15,9,60.0
1.0,Katie Rapp,5,3,60.0
4.0,Maija Nepszy,5,3,60.0
5.0,Molly McCluskey,68,40,58.8
4.0,Maria Fernanda Afonso,41,24,58.5
3.0,Jasmine Saran,51,29,56.9
4.0,Jasmine Saran,57,32,56.1
1.0,Maria Fernanda Afonso,38,21,55.3
3.0,Maria Fernanda Afonso,50,27,54.0
6.0,Madison Johnson,23,12,52.2
1.0,Lucia Barroso,6,3,50.0
5.0,Stefania Alupei,6,3,50.0
3.0,Ireland McNees,44,21,47.7
5.0,Ireland McNees,32,15,46.9
4.0,Ireland McNees,48,20,41.7
3.0,Katie Rapp,11,4,36.4
1.0,Ireland McNees,20,7,35.0
4.0,Molly McCluskey,24,8,33.3
1.0,Mina Olgar,7,2,28.6
1.0,Stefania Alupei,9,2,22.2
