rotation,passer,hitter,receptions,sideouts,expected_sideout_pct
5.0,Ireland McNees,Mina Olgar,10,10,100.0
2.0,Ireland McNees,Madison Johnson,5,5,100.0
2.0,Ireland McNees,Maria Fernanda Afonso,10,9,90.0
6.0,Kayla Uhlick,Ireland McNees,8,7,87.5
3.0,Kayla Uhlick,Jasmine Saran,7,6,85.7
3.0,Stefania Alupei,Maria Fernanda Afonso,6,5,83.3
1.0,Paulina Baillie,Madison Johnson,5,4,80.0
3.0,Ireland McNees,Maria Fernanda Afonso,5,4,80.0
4.0,Mina Olgar,Maria Fernanda Afonso,5,4,80.0
5.0,Iris Canko,Maria Fernanda Afonso,5,4,80.0
6.0,Ireland McNees,Madison Johnson,5,4,80.0
6.0,Paulina Baillie,Molly McCluskey,38,30,78.9
3.0,Maria Fernanda Afonso,Maria Fernanda Afonso,9,7,77.8
1.0,Maria Fernanda Afonso,Molly McCluskey,8,6,75.0
1.0,Kayla Uhlick,Molly McCluskey,15,11,73.3
5.0,Ireland McNees,Jasmine Saran,15,11,73.3
5.0,Kayla Uhlick,Molly McCluskey,22,16,72.7
2.0,Kayla Uhlick,Ireland McNees,18,13,72.2
4.0,Ireland McNees,Jasmine Saran,18,13,72.2
6.0,Kayla Uhlick,Molly McCluskey,14,10,71.4
6.0,Paulina Baillie,Ireland McNees,14,10,71.4
6.0,Ireland McNees,Ireland McNees,7,5,71.4
5.0,Kayla Uhlick,Jasmine Saran,13,9,69.2
1.0,Maria Fernanda Afonso,Maria Fernanda Afonso,12,8,66.7
1.0,Kayla Uhlick,Madison Johnson,6,4,66.7
1.0,Kayla Uhlick,Maria Fernanda Afonso,6,4,66.7
2.0,Iris Canko,Maria Fernanda Afonso,6,4,66.7
1.0,Paulina Baillie,Molly McCluskey,14,9,64.3
3.0,Paulina Baillie,Ireland McNees,13,8,61.5
5.0,Maria Fernanda Afonso,Molly McCluskey,10,6,60.0
6.0,Maria Fernanda Afonso,Molly McCluskey,10,6,60.0
2.0,Kayla Uhlick,Molly McCluskey,5,3,60.0
3.0,Maria Fernanda Afonso,Jasmine Saran,5,3,60.0
3.0,Paulina Baillie,Mika Rome,5,3,60.0
3.0,Paulina Baillie,Molly McCluskey,5,3,60.0
4.0,Maria Fernanda Afonso,Jasmine Saran,5,3,60.0
5.0,Stefania Alupei,Stefania Alupei,5,3,60.0
5.0,Paulina Baillie,Jasmine Saran,17,10,58.8
2.0,Maria Fernanda Afonso,Maria Fernanda Afonso,19,11,57.9
2.0,Ireland McNees,Ireland McNees,7,4,57.1
5.0,Maria Fernanda Afonso,Jasmine Saran,7,4,57.1
6.0,Ireland McNees,Maria Fernanda Afonso,7,4,57.1
6.0,Paulina Baillie,Maria Fernanda Afonso,7,4,57.1
4.0,Kayla Uhlick,Ireland McNees,16,9,56.2
4.0,Maria Fernanda Afonso,Maria Fernanda Afonso,9,5,55.6
5.0,Paulina Baillie,Molly McCluskey,9,5,55.6
3.0,Paulina Baillie,Jasmine Saran,17,9,52.9
5.0,Ireland McNees,Molly McCluskey,25,13,52.0
6.0,Ireland McNees,Molly McCluskey,28,14,50.0
4.0,Kayla Uhlick,Jasmine Saran,12,6,50.0
2.0,Paulina Baillie,Maria Fernanda Afonso,10,5,50.0
2.0,Maria Fernanda Afonso,Molly McCluskey,8,4,50.0
1.0,Iris Canko,Maria Fernanda Afonso,6,3,50.0
4.0,Kayla Uhlick,Molly McCluskey,6,3,50.0
4.0,Ireland McNees,Maria Fernanda Afonso,15,7,46.7
4.0,Paulina Baillie,Jasmine Saran,15,7,46.7
5.0,Kayla Uhlick,Ireland McNees,15,7,46.7
2.0,Kayla Uhlick,Madison Johnson,13,6,46.2
3.0,Stefania Alupei,Jasmine Saran,11,5,45.5
1.0,Ireland McNees,Maria Fernanda Afonso,9,4,44.4
3.0,Paulina Baillie,Katie Rapp,9,4,44.4
5.0,Maria Fernanda Afonso,Maria Fernanda Afonso,7,3,42.9
3.0,Kayla Uhlick,Maria Fernanda Afonso,10,4,40.0
5.0,Paulina Baillie,Ireland McNees,10,4,40.0
2.0,Ireland McNees,Katie Rapp,5,2,40.0
6.0,Maria Fernanda Afonso,Madison Johnson,5,2,40.0
3.0,Kayla Uhlick,Ireland McNees,25,9,36.0
1.0,Ireland McNees,Madison Johnson,6,2,33.3
4.0,Ireland McNees,Molly McCluskey,6,2,33.3
1.0,Ireland McNees,Molly McCluskey,13,4,30.8
1.0,Paulina Baillie,Ireland McNees,10,3,30.0
3.0,Iris Canko,Maria Fernanda Afonso,14,4,28.6
3.0,Ireland McNees,Jasmine Saran,7,2,28.6
4.0,Maria Fernanda Afonso,Molly McCluskey,8,2,25.0
4.0,Paulina Baillie,Ireland McNees,24,5,20.8
6.0,Paulina Baillie,Madison Johnson,6,1,16.7
1.0,Paulina Baillie,Stefania Alupei,5,0,0.0
