rotation,passer,setter_group,receptions,sideouts,expected_sideout_pct
5.0,Maria Fernanda Afonso,Maija Nepszy,8,7,87.5
2.0,Iris Canko,Mika Rome,7,6,85.7
4.0,Mina Olgar,Mika Rome,6,5,83.3
6.0,Kayla Uhlick,Maija Nepszy,23,19,82.6
2.0,Ireland McNees,Mika Rome,17,14,82.4
3.0,Maria Fernanda Afonso,Maija Nepszy,10,8,80.0
1.0,Kayla Uhlick,Mika Rome,21,16,76.2
4.0,Ireland McNees,Maija Nepszy,20,15,75.0
4.0,Kayla Uhlick,Mika Rome,16,12,75.0
4.0,Maria Fernanda Afonso,Maija Nepszy,8,6,75.0
6.0,Paulina Baillie,Mika Rome,35,26,74.3
5.0,Ireland McNees,Mika Rome,37,26,70.3
1.0,Maria Fernanda Afonso,Mika Rome,10,7,70.0
2.0,Kayla Uhlick,Maija Nepszy,13,9,69.2
5.0,Paulina Baillie,Maija Nepszy,16,11,68.8
6.0,Paulina Baillie,Maija Nepszy,36,24,66.7
5.0,Kayla Uhlick,Mika Rome,15,10,66.7
2.0,Paulina Baillie,Mika Rome,9,6,66.7
4.0,Iris Canko,Mika Rome,9,6,66.7
5.0,Iris Canko,Mika Rome,9,6,66.7
5.0,Stefania Alupei,Maija Nepszy,9,6,66.7
3.0,Maria Fernanda Afonso,Mika Rome,6,4,66.7
5.0,Ireland McNees,Maija Nepszy,23,15,65.2
6.0,Ireland McNees,Mika Rome,29,18,62.1
2.0,Maria Fernanda Afonso,Maija Nepszy,18,11,61.1
2.0,Kayla Uhlick,Mika Rome,33,20,60.6
6.0,Ireland McNees,Maija Nepszy,25,15,60.0
3.0,Stefania Alupei,Maija Nepszy,20,12,60.0
5.0,Kayla Uhlick,Maija Nepszy,37,22,59.5
2.0,Ireland McNees,Maija Nepszy,24,14,58.3
3.0,Paulina Baillie,Mika Rome,28,16,57.1
1.0,Stefania Alupei,Maija Nepszy,7,4,57.1
6.0,Kayla Uhlick,Mika Rome,7,4,57.1
6.0,Maria Fernanda Afonso,Maija Nepszy,7,4,57.1
3.0,Ireland McNees,Mika Rome,16,9,56.2
1.0,Maria Fernanda Afonso,Maija Nepszy,27,15,55.6
2.0,Stefania Alupei,Maija Nepszy,11,6,54.5
3.0,Paulina Baillie,Maija Nepszy,30,16,53.3
1.0,Ireland McNees,Maija Nepszy,31,16,51.6
4.0,Ireland McNees,Mika Rome,33,17,51.5
3.0,Kayla Uhlick,Mika Rome,32,16,50.0
4.0,Maria Fernanda Afonso,Mika Rome,20,10,50.0
3.0,Ireland McNees,Maija Nepszy,6,3,50.0
4.0,Kayla Uhlick,Maija Nepszy,27,13,48.1
3.0,Kayla Uhlick,Maija Nepszy,15,7,46.7
6.0,Maria Fernanda Afonso,Mika Rome,15,7,46.7
5.0,Maria Fernanda Afonso,Mika Rome,22,10,45.5
1.0,Paulina Baillie,Mika Rome,16,7,43.8
5.0,Paulina Baillie,Mika Rome,23,10,43.5
1.0,Kayla Uhlick,Maija Nepszy,14,6,42.9
2.0,Paulina Baillie,Maija Nepszy,12,5,41.7
1.0,Paulina Baillie,Maija Nepszy,27,11,40.7
4.0,Paulina Baillie,Maija Nepszy,30,12,40.0
1.0,Iris Canko,Mika Rome,5,2,40.0
2.0,Maria Fernanda Afonso,Mika Rome,17,6,35.3
4.0,Paulina Baillie,Mika Rome,30,10,33.3
3.0,Iris Canko,Mika Rome,18,6,33.3
1.0,Ireland McNees,Mika Rome,15,5,33.3
