passer,setter_group,hitter,receptions,sideouts,expected_sideout_pct
Ireland McNees,Mika Rome,Mina Olgar,17,17,100.0
Iris Canko,Maija Nepszy,Molly McCluskey,4,4,100.0
Katie Rapp,Maija Nepszy,Katie Rapp,4,4,100.0
Kayla Uhlick,Maija Nepszy,Maija Nepszy,3,3,100.0
Maria Fernanda Afonso,Maija Nepszy,Stefania Alupei,3,3,100.0
Paulina Baillie,Maija Nepszy,Mina Olgar,3,3,100.0
Iris Canko,Mika Rome,Madison Johnson,2,2,100.0
Iris Canko,Mika Rome,Mika Rome,2,2,100.0
Iris Canko,Mika Rome,Mina Olgar,2,2,100.0
Madison Johnson,Mika Rome,Mika Rome,2,2,100.0
Maria Fernanda Afonso,Maija Nepszy,Ireland McNees,2,2,100.0
Molly McCluskey,Maija Nepszy,Jasmine Saran,2,2,100.0
Molly McCluskey,Maija Nepszy,Stefania Alupei,2,2,100.0
Molly McCluskey,Mika Rome,Jasmine Saran,2,2,100.0
Paulina Baillie,Mika Rome,Paulina Baillie,2,2,100.0
Ireland McNees,Maija Nepszy,Lucia Barroso,1,1,100.0
Jasmine Saran,Maija Nepszy,Ireland McNees,1,1,100.0
Jasmine Saran,Mika Rome,Mika Rome,1,1,100.0
Katie Rapp,Maija Nepszy,Molly McCluskey,1,1,100.0
Madison Johnson,Maija Nepszy,Molly McCluskey,1,1,100.0
Madison Johnson,Mika Rome,Madison Johnson,1,1,100.0
Maria Fernanda Afonso,Maija Nepszy,Maija Nepszy,1,1,100.0
Maria Fernanda Afonso,Mika Rome,Katie Rapp,1,1,100.0
Mina Olgar,Maija Nepszy,Molly McCluskey,1,1,100.0
Mina Olgar,Mika Rome,Mina Olgar,1,1,100.0
Molly McCluskey,Maija Nepszy,Lucia Barroso,1,1,100.0
Stefania Alupei,Maija Nepszy,Katie Rapp,1,1,100.0
Stefania Alupei,Mika Rome,Ireland McNees,1,1,100.0
Stefania Alupei,Mika Rome,Katie Rapp,1,1,100.0
Ireland McNees,Mika Rome,Madison Johnson,13,11,84.6
Ireland McNees,Maija Nepszy,Stefania Alupei,12,10,83.3
Ireland McNees,Maija Nepszy,Maija Nepszy,6,5,83.3
