rotation,passer,setter_group,hitter,receptions,sideouts,expected_sideout_pct
5.0,Ireland McNees,Mika Rome,Mina Olgar,10,10,100.0
5.0,Kayla Uhlick,Mika Rome,Molly McCluskey,7,7,100.0
3.0,Kayla Uhlick,Maija Nepszy,Jasmine Saran,6,6,100.0
2.0,Ireland McNees,Mika Rome,Madison Johnson,5,5,100.0
3.0,Maria Fernanda Afonso,Maija Nepszy,Maria Fernanda Afonso,5,5,100.0
4.0,Kayla Uhlick,Mika Rome,Ireland McNees,5,5,100.0
5.0,Ireland McNees,Maija Nepszy,Jasmine Saran,11,10,90.9
1.0,Kayla Uhlick,Mika Rome,Molly McCluskey,8,7,87.5
6.0,Kayla Uhlick,Maija Nepszy,Ireland McNees,7,6,85.7
6.0,Paulina Baillie,Mika Rome,Molly McCluskey,24,20,83.3
2.0,Ireland McNees,Maija Nepszy,Maria Fernanda Afonso,6,5,83.3
3.0,Stefania Alupei,Maija Nepszy,Maria Fernanda Afonso,6,5,83.3
6.0,Kayla Uhlick,Maija Nepszy,Molly McCluskey,10,8,80.0
6.0,Paulina Baillie,Maija Nepszy,Ireland McNees,10,8,80.0
2.0,Iris Canko,Mika Rome,Maria Fernanda Afonso,5,4,80.0
4.0,Ireland McNees,Mika Rome,Jasmine Saran,5,4,80.0
4.0,Mina Olgar,Mika Rome,Maria Fernanda Afonso,5,4,80.0
5.0,Iris Canko,Mika Rome,Maria Fernanda Afonso,5,4,80.0
5.0,Kayla Uhlick,Maija Nepszy,Jasmine Saran,12,9,75.0
1.0,Paulina Baillie,Maija Nepszy,Molly McCluskey,8,6,75.0
2.0,Kayla Uhlick,Mika Rome,Ireland McNees,18,13,72.2
6.0,Paulina Baillie,Maija Nepszy,Molly McCluskey,14,10,71.4
2.0,Maria Fernanda Afonso,Mika Rome,Maria Fernanda Afonso,7,5,71.4
4.0,Ireland McNees,Maija Nepszy,Jasmine Saran,13,9,69.2
5.0,Ireland McNees,Mika Rome,Molly McCluskey,15,10,66.7
1.0,Kayla Uhlick,Mika Rome,Madison Johnson,6,4,66.7
3.0,Paulina Baillie,Mika Rome,Jasmine Saran,6,4,66.7
6.0,Maria Fernanda Afonso,Mika Rome,Molly McCluskey,6,4,66.7
4.0,Maria Fernanda Afonso,Mika Rome,Maria Fernanda Afonso,8,5,62.5
3.0,Paulina Baillie,Mika Rome,Ireland McNees,13,8,61.5
5.0,Kayla Uhlick,Maija Nepszy,Molly McCluskey,15,9,60.0
1.0,Maria Fernanda Afonso,Maija Nepszy,Maria Fernanda Afonso,10,6,60.0
5.0,Paulina Baillie,Maija Nepszy,Jasmine Saran,10,6,60.0
1.0,Ireland McNees,Mika Rome,Maria Fernanda Afonso,5,3,60.0
1.0,Maria Fernanda Afonso,Maija Nepszy,Molly McCluskey,5,3,60.0
2.0,Kayla Uhlick,Maija Nepszy,Molly McCluskey,5,3,60.0
3.0,Paulina Baillie,Mika Rome,Mika Rome,5,3,60.0
5.0,Maria Fernanda Afonso,Mika Rome,Jasmine Saran,5,3,60.0
5.0,Stefania Alupei,Maija Nepszy,Stefania Alupei,5,3,60.0
6.0,Ireland McNees,Maija Nepszy,Ireland McNees,5,3,60.0
6.0,Paulina Baillie,Mika Rome,Maria Fernanda Afonso,5,3,60.0
6.0,Ireland McNees,Maija Nepszy,Molly McCluskey,14,8,57.1
1.0,Kayla Uhlick,Maija Nepszy,Molly McCluskey,7,4,57.1
5.0,Paulina Baillie,Mika Rome,Jasmine Saran,7,4,57.1
6.0,Ireland McNees,Mika Rome,Maria Fernanda Afonso,7,4,57.1
2.0,Kayla Uhlick,Mika Rome,Madison Johnson,12,6,50.0
2.0,Maria Fernanda Afonso,Maija Nepszy,Maria Fernanda Afonso,12,6,50.0
5.0,Kayla Uhlick,Maija Nepszy,Ireland McNees,8,4,50.0
1.0,Paulina Baillie,Mika Rome,Molly McCluskey,6,3,50.0
3.0,Kayla Uhlick,Mika Rome,Ireland McNees,19,9,47.4
4.0,Ireland McNees,Mika Rome,Maria Fernanda Afonso,15,7,46.7
3.0,Paulina Baillie,Maija Nepszy,Jasmine Saran,11,5,45.5
3.0,Stefania Alupei,Maija Nepszy,Jasmine Saran,11,5,45.5
4.0,Kayla Uhlick,Maija Nepszy,Jasmine Saran,11,5,45.5
3.0,Paulina Baillie,Maija Nepszy,Katie Rapp,9,4,44.4
4.0,Paulina Baillie,Maija Nepszy,Jasmine Saran,14,6,42.9
6.0,Ireland McNees,Mika Rome,Molly McCluskey,14,6,42.9
3.0,Kayla Uhlick,Mika Rome,Maria Fernanda Afonso,7,3,42.9
5.0,Kayla Uhlick,Mika Rome,Ireland McNees,7,3,42.9
5.0,Maria Fernanda Afonso,Mika Rome,Molly McCluskey,7,3,42.9
5.0,Paulina Baillie,Mika Rome,Ireland McNees,10,4,40.0
1.0,Iris Canko,Mika Rome,Maria Fernanda Afonso,5,2,40.0
2.0,Ireland McNees,Maija Nepszy,Katie Rapp,5,2,40.0
4.0,Kayla Uhlick,Mika Rome,Molly McCluskey,5,2,40.0
6.0,Maria Fernanda Afonso,Mika Rome,Madison Johnson,5,2,40.0
4.0,Kayla Uhlick,Maija Nepszy,Ireland McNees,11,4,36.4
1.0,Ireland McNees,Maija Nepszy,Molly McCluskey,9,3,33.3
2.0,Paulina Baillie,Maija Nepszy,Maria Fernanda Afonso,6,2,33.3
3.0,Iris Canko,Mika Rome,Maria Fernanda Afonso,13,4,30.8
4.0,Paulina Baillie,Maija Nepszy,Ireland McNees,10,3,30.0
5.0,Ireland McNees,Maija Nepszy,Molly McCluskey,10,3,30.0
2.0,Maria Fernanda Afonso,Mika Rome,Molly McCluskey,5,1,20.0
5.0,Paulina Baillie,Mika Rome,Molly McCluskey,5,1,20.0
6.0,Paulina Baillie,Maija Nepszy,Madison Johnson,5,1,20.0
1.0,Paulina Baillie,Maija Nepszy,Ireland McNees,6,1,16.7
4.0,Maria Fernanda Afonso,Mika Rome,Molly McCluskey,6,1,16.7
