rotation,setter_group,hitter,receptions,sideouts,expected_sideout_pct
5.0,Mika Rome,Mina Olgar,14,14,100.0
4.0,Mika Rome,Mika Rome,9,9,100.0
6.0,Maija Nepszy,Stefania Alupei,8,8,100.0
2.0,Maija Nepszy,Stefania Alupei,9,8,88.9
2.0,Mika Rome,Maria Fernanda Afonso,20,16,80.0
6.0,Maija Nepszy,Ireland McNees,22,17,77.3
5.0,Maija Nepszy,Jasmine Saran,41,31,75.6
4.0,Mika Rome,Mina Olgar,8,6,75.0
2.0,Maija Nepszy,Molly McCluskey,14,10,71.4
3.0,Mika Rome,Mika Rome,7,5,71.4
4.0,Maija Nepszy,Molly McCluskey,7,5,71.4
3.0,Maija Nepszy,Maria Fernanda Afonso,20,14,70.0
6.0,Mika Rome,Molly McCluskey,48,32,66.7
6.0,Maija Nepszy,Molly McCluskey,45,30,66.7
4.0,Maija Nepszy,Stefania Alupei,6,4,66.7
2.0,Mika Rome,Ireland McNees,23,15,65.2
2.0,Mika Rome,Madison Johnson,20,13,65.0
1.0,Maija Nepszy,Madison Johnson,14,9,64.3
4.0,Mika Rome,Jasmine Saran,14,9,64.3
1.0,Mika Rome,Molly McCluskey,22,14,63.6
1.0,Mika Rome,Madison Johnson,11,7,63.6
2.0,Maija Nepszy,Katie Rapp,8,5,62.5
6.0,Mika Rome,Madison Johnson,13,8,61.5
6.0,Mika Rome,Maria Fernanda Afonso,13,8,61.5
1.0,Maija Nepszy,Molly McCluskey,35,21,60.0
5.0,Mika Rome,Molly McCluskey,35,21,60.0
3.0,Mika Rome,Molly McCluskey,10,6,60.0
5.0,Maija Nepszy,Ireland McNees,10,6,60.0
2.0,Mika Rome,Mina Olgar,5,3,60.0
3.0,Maija Nepszy,Molly McCluskey,5,3,60.0
4.0,Maija Nepszy,Maija Nepszy,5,3,60.0
4.0,Mika Rome,Maria Fernanda Afonso,37,22,59.5
3.0,Maija Nepszy,Jasmine Saran,34,20,58.8
5.0,Maija Nepszy,Molly McCluskey,33,19,57.6
6.0,Maija Nepszy,Maria Fernanda Afonso,7,4,57.1
1.0,Mika Rome,Maria Fernanda Afonso,16,9,56.2
2.0,Maija Nepszy,Maria Fernanda Afonso,29,16,55.2
1.0,Maija Nepszy,Maria Fernanda Afonso,22,12,54.5
3.0,Mika Rome,Ireland McNees,37,20,54.1
4.0,Maija Nepszy,Jasmine Saran,43,23,53.5
3.0,Mika Rome,Jasmine Saran,17,9,52.9
5.0,Mika Rome,Maria Fernanda Afonso,14,7,50.0
6.0,Mika Rome,Ireland McNees,12,6,50.0
2.0,Mika Rome,Molly McCluskey,8,4,50.0
1.0,Maija Nepszy,Lucia Barroso,6,3,50.0
2.0,Maija Nepszy,Ireland McNees,6,3,50.0
5.0,Maija Nepszy,Stefania Alupei,6,3,50.0
5.0,Mika Rome,Jasmine Saran,21,10,47.6
4.0,Mika Rome,Ireland McNees,23,10,43.5
3.0,Mika Rome,Maria Fernanda Afonso,30,13,43.3
5.0,Mika Rome,Ireland McNees,22,9,40.9
4.0,Maija Nepszy,Ireland McNees,25,10,40.0
6.0,Maija Nepszy,Madison Johnson,10,4,40.0
1.0,Mika Rome,Ireland McNees,13,5,38.5
3.0,Maija Nepszy,Katie Rapp,11,4,36.4
1.0,Maija Nepszy,Ireland McNees,7,2,28.6
1.0,Maija Nepszy,Mina Olgar,7,2,28.6
1.0,Maija Nepszy,Stefania Alupei,7,2,28.6
4.0,Mika Rome,Molly McCluskey,17,3,17.6
3.0,Maija Nepszy,Ireland McNees,7,1,14.3
